date,commodity,market_location,price,currency,source,commodity_std,source_type
2015-12-01,Iron Ore,India - Wholesale Price Index,47.7,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2016-01-01,Coal,India - Wholesale Price Index,105.5,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2016-01-01,Grain,India - Wholesale Price Index,132.666667,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2016-01-01,Iron Ore,India - Wholesale Price Index,53.8,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2016-02-01,Coal,India - Wholesale Price Index,105.5,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2016-02-01,Grain,India - Wholesale Price Index,133.733333,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2016-02-01,Iron Ore,India - Wholesale Price Index,46.3,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2016-03-01,Coal,India - Wholesale Price Index,105.5,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2016-03-01,Grain,India - Wholesale Price Index,134.133333,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2016-03-01,Iron Ore,India - Wholesale Price Index,48.7,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2016-04-01,Iron Ore,India - Wholesale Price Index,47.5,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2016-04-01,Grain,India - Wholesale Price Index,134.133333,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2016-04-01,Coal,India - Wholesale Price Index,105.5,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2016-05-01,Coal,India - Wholesale Price Index,105.5,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2016-05-01,Grain,India - Wholesale Price Index,135.5,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2016-05-01,Iron Ore,India - Wholesale Price Index,47.4,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2016-06-01,Coal,India - Wholesale Price Index,106.05,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2016-06-01,Grain,India - Wholesale Price Index,137.766667,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2016-06-01,Iron Ore,India - Wholesale Price Index,43.8,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2016-07-01,Coal,India - Wholesale Price Index,106.05,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2016-07-01,Grain,India - Wholesale Price Index,141.266667,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2016-07-01,Iron Ore,India - Wholesale Price Index,44.3,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2016-08-01,Coal,India - Wholesale Price Index,106.05,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2016-08-01,Grain,India - Wholesale Price Index,140.566667,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2016-08-01,Iron Ore,India - Wholesale Price Index,44.6,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2016-09-01,Grain,India - Wholesale Price Index,141.533333,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2016-09-01,Iron Ore,India - Wholesale Price Index,44.7,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2016-09-01,Coal,India - Wholesale Price Index,106.05,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2016-10-01,Coal,India - Wholesale Price Index,106.05,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
