date,port_or_benchmark,fuel_type,price,currency,unit,region,source
2019-04-06,Visakhapatnam,Marine Fuel 0.5% / MFO 0.5%,453.720656,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-06,Visakhapatnam,HFHSD / LSHF HSD,677.737705,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-06,V.O. Chidambaranar Port (Tuticorin),Marine Fuel 0.5% / MFO 0.5%,476.796066,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-06,V.O. Chidambaranar Port (Tuticorin),HFHSD / LSHF HSD,682.355246,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-06,Paradip,Marine Fuel 0.5% / MFO 0.5%,462.553443,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-06,Paradip,HFHSD / LSHF HSD,677.151475,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-06,Kamarajar Port (Ennore),Marine Fuel 0.5% / MFO 0.5%,476.796066,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-06,Kamarajar Port (Ennore),HFHSD / LSHF HSD,675.71623,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-06,Haldia,Marine Fuel 0.5% / MFO 0.5%,456.71082,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-06,Haldia,HFHSD / LSHF HSD,686.778852,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-06,Chennai,Marine Fuel 0.5% / MFO 0.5%,476.796066,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-06,Chennai,HFHSD / LSHF HSD,675.71623,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-07,Visakhapatnam,HFHSD / LSHF HSD,676.838989,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-07,V.O. Chidambaranar Port (Tuticorin),Marine Fuel 0.5% / MFO 0.5%,476.24041,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-07,V.O. Chidambaranar Port (Tuticorin),HFHSD / LSHF HSD,681.444454,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-07,Paradip,Marine Fuel 0.5% / MFO 0.5%,462.03735,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-07,Paradip,HFHSD / LSHF HSD,676.250055,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-07,Visakhapatnam,Marine Fuel 0.5% / MFO 0.5%,453.229098,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-07,Kamarajar Port (Ennore),HFHSD / LSHF HSD,674.813934,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-07,Haldia,Marine Fuel 0.5% / MFO 0.5%,456.210956,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-07,Haldia,HFHSD / LSHF HSD,685.881995,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-07,Chennai,Marine Fuel 0.5% / MFO 0.5%,476.24041,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-07,Chennai,HFHSD / LSHF HSD,674.813934,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-07,Kamarajar Port (Ennore),Marine Fuel 0.5% / MFO 0.5%,476.24041,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-08,Visakhapatnam,HFHSD / LSHF HSD,675.940273,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-08,V.O. Chidambaranar Port (Tuticorin),Marine Fuel 0.5% / MFO 0.5%,475.684754,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-08,V.O. Chidambaranar Port (Tuticorin),HFHSD / LSHF HSD,680.533661,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-08,Paradip,Marine Fuel 0.5% / MFO 0.5%,461.521257,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-08,Paradip,HFHSD / LSHF HSD,675.348634,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-08,Visakhapatnam,Marine Fuel 0.5% / MFO 0.5%,452.737541,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-08,Kamarajar Port (Ennore),HFHSD / LSHF HSD,673.911639,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-08,Haldia,Marine Fuel 0.5% / MFO 0.5%,455.711093,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-08,Haldia,HFHSD / LSHF HSD,684.985137,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
